marketing_name,stock_code,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop__fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
SAMSUNG GALAXY NOTE 10.1 N8000,SGHN8000,Samsung,GALAXY NOTE 10.1 N8000,Phone,"62,499","59,370","62,499","56,249","53,440","54,690","49,220","46,760","23,440","21,100","20,050"
SAMSUNG GALAXY NOTE 2- N7100,SGHN7100-16GB,Samsung,GALAXY NOTE 2- N7100,Phone,"58,999","56,040","58,999","53,099","50,440","51,620","46,460","44,140","22,120","19,910","18,910"
SAMSUNG GALAXY NOTE 8.0- N5100,SGHN5100-16GB,Samsung,GALAXY NOTE 8.0- N5100,Phone,"55,499","52,720","55,499","49,949","47,450","48,560","43,700","41,520","20,810","18,730","17,790"
SAMSUNG GALAXY NOTE- N7000,SGHN7000-16GB,Samsung,GALAXY NOTE- N7000,Phone,"44,999","42,740","44,999","40,499","38,470","39,370","35,430","33,660","16,870","15,180","14,420"
SAMSUNG GALAXY POCKET- S5301,SGHS5301,Samsung,GALAXY POCKET- S5301,Phone,"9,599","9,110","9,599","8,599","8,170","8,400","7,400","7,030","3,600","2,600","2,470"
SAMSUNG GALAXY S ADVANCE-I9070,SGHI9070,Samsung,GALAXY S ADVANCE-I9070,Phone,"25,999","24,690","25,999","23,399","22,230","22,750","20,480","19,460","9,750","8,750","8,310"
SAMSUNG GALAXY S DOUS- S7562,SGHS7562,Samsung,GALAXY S DOUS- S7562,Phone,"20,299","19,280","20,299","18,269","17,360","17,760","15,980","15,180","7,610","6,610","6,280"
SAMSUNG GALAXY S4 ZOOM- C101,SGHC101,Samsung,GALAXY S4 ZOOM- C101,Phone,"57,999","55,090","57,999","52,199","49,590","50,750","45,680","43,400","21,750","19,580","18,600"
SAMSUNG GALAXY STAR- S5282,SGHS5282,Samsung,GALAXY STAR- S5282,Phone,"8,499","8,070","8,499","7,499","7,120","7,440","6,440","6,120","3,190","2,190","2,080"
SAMSUNG GALAXY TAB 2 - P5100,SGHP5100-16GB,Samsung,GALAXY TAB 2 - P5100,Tablet,"45,999","43,690","45,999","41,399","39,330","40,250","36,230","34,420","17,250","15,530","14,750"
SAMSUNG GALAXY TAB 3 - P5200,SGHP5200-16GB,Samsung,GALAXY TAB 3 - P5200,Tablet,"54,999","52,240","54,999","49,499","47,020","48,120","43,310","41,140","20,620","18,560","17,630"
SAMSUNG GALAXY TAB2- P3100-8GB,SGHP3100-8GB,Samsung,GALAXY TAB2- P3100-8GB,Tablet,"32,499","30,870","32,499","29,249","27,790","28,440","25,600","24,320","12,190","10,970","10,420"
SAMSUNG GALAXY Y PRO DOU B5512,SGHB5512,Samsung,GALAXY Y PRO DOU B5512,Phone,"15,999","15,190","15,999","14,399","13,680","14,000","12,600","11,970","6,000","5,000","4,750"
SAMSUNG PHONE  TAO DUOS,SGHS5222,Samsung,TAO DUOS,Phone,"7,599","7,210","7,599","6,599","6,270","6,650","5,650","5,370","2,850","1,850","1,760"
SAMSUNG PHONE C270 - DIVO,SGHC270,Samsung,C270 - DIVO,Phone,"3,399","3,220","3,399","2,399","2,280","2,970","1,970","1,870","1,270",270,260
SAMSUNG PHONE C3222 CH@T,SGHC3222,Samsung,C3222 CH@T,Phone,"6,299","5,980","6,299","5,299","5,030","5,510","4,510","4,280","2,360","1,360","1,290"
SAMSUNG PHONE CHAMP DELUX,SGHC3312,Samsung,CHAMP DELUX,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
SAMSUNG PHONE CHAT-S3332,SGHS3332,Samsung,CHAT-S3332,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
SAMSUNG PHONE E1232,SGHE1232,Samsung,E1232,Phone,"3,250","3,080","3,250","2,250","2,140","2,840","1,840","1,750","1,220",220,210
SAMSUNG PHONE E1282T,SGHE1282T,Samsung,E1282T,Phone,"3,299","3,130","3,299","2,299","2,180","2,890","1,890","1,800","1,240",240,230
SAMSUNG PHONE- E2202,SGHE2202,Samsung,PHONE- E2202,Phone,"4,399","4,170","4,399","3,399","3,230","3,850","2,850","2,710","1,650",650,620
SAMSUNG PHONE E2222 TEXTO,SGHE2222,Samsung,E2222 TEXTO,Phone,"5,699","5,410","5,699","4,699","4,460","4,990","3,990","3,790","2,140","1,140","1,080"
