marketing_name,vendor,model,device_type,catalog_price,wholesale_price,fd_insured_value,fd_replacement_value,fd_koil_invoice_value,yop_insured_value,yop_replacement_value,yop_fd_koil_invoice_value,prev_insured_value,prev_replacement_value,prev_fd_koil_invoice_value
SAMSUNG GALAXY POCKET DUOS,Samsung,GALAXY POCKET DUOS,,"8,999","8,540","8,999","7,999","7,600","7,870","6,870","6,530","3,370","2,370","2,250"
SAMSUNG GALAXY POCKET- S5301,Samsung,GALAXY POCKET- S5301,,"8,299","7,880","8,299","7,299","6,930","7,260","6,260","5,950","3,110","2,110","2,000"
SAMSUNG GALAXY S ADVANCE-I9070,Samsung,GALAXY S ADVANCE-I9070,,"24,999","23,740","24,999","22,499","21,370","21,870","19,680","18,700","9,370","8,370","7,950"
SAMSUNG GALAXY S DOUS- S7562,Samsung,GALAXY S DOUS- S7562,,"17,499","16,620","17,499","15,749","14,960","15,310","13,780","13,090","6,560","5,560","5,280"
SAM GALAXY S3 MINI-I8190-8GB,Samsung,GALAXY S3 MINI-I8190-8GB,,"28,499","27,070","28,499","25,649","24,370","24,940","22,450","21,330","10,690","9,620","9,140"
SAMSUNG GALAXY STAR- S5282,Samsung,GALAXY STAR- S5282,,"7,999","7,590","7,999","6,999","6,650","7,000","6,000","5,700","3,000","2,000","1,900"
SAMSUNG GALAXY TAB 2 - P5100,Samsung,GALAXY TAB 2 - P5100,,"41,999","39,890","41,999","37,799","35,910","36,750","33,080","31,430","15,750","14,180","13,470"
SAMSUNG GALAXY TAB2- P3100-8GB,Samsung,GALAXY TAB2- P3100-8GB,,"29,999","28,490","29,999","26,999","25,650","26,250","23,630","22,450","11,250","10,130","9,620"
SAMSUNG PHONE GALAXY Y DUOS,Samsung,GALAXY Y DUOS,Phone,"10,999","10,440","10,999","9,899","9,400","9,620","8,620","8,190","4,120","3,120","2,960"
SAMSUNG GALAXY Y PRO DOU B5512,Samsung,GALAXY Y PRO DOU B5512,,"13,499","12,820","13,499","12,149","11,540","11,810","10,630","10,100","5,060","4,060","3,860"
SAM GALAXY YOUNG DOUS-S6312,Samsung,GALAXY YOUNG DOUS-S6312,,"11,999","11,390","11,999","10,799","10,260","10,500","9,450","8,980","4,500","3,500","3,330"
SAMSUNG  GALAXY-I9500- S4-16GB,Samsung,GALAXY-I9500- S4-16GB,,"59,999","56,990","59,999","53,999","51,300","52,500","47,250","44,890","22,500","20,250","19,240"
SAMSUNG PHONE- E2202,Samsung,PHONE- E2202,Phone,"3,799","3,600","3,799","2,799","2,660","3,320","2,320","2,200","1,420",420,400
SAMSUNG PHONE POCKET-S5303,Samsung,POCKET-S5303,Phone,"8,999","8,540","8,999","7,999","7,600","7,870","6,870","6,530","3,370","2,370","2,250"
SAMSUNG PHONE S5300- POCKET,Samsung,S5300- POCKET,Phone,"8,299","7,880","8,299","7,299","6,930","7,260","6,260","5,950","3,110","2,110","2,000"
SAMSUNG TAB P6200 - 16GB,Samsung,TAB P6200 - 16GB,Tablet,"31,999","30,390","31,999","28,799","27,360","28,000","25,200","23,940","12,000","10,800","10,260"
SAMSUNG TAB P7500 - 32GB,Samsung,TAB P7500 - 32GB,Tablet,"37,999","36,090","37,999","34,199","32,490","33,250","29,930","28,430","14,250","12,830","12,190"
SAMSUNG PHONE  TAO DUOS,Samsung,TAO DUOS,Phone,"6,999","6,640","6,999","5,999","5,700","6,120","5,120","4,860","2,620","1,620","1,540"
SGH PHONE C3322 LAKOTA DUOS,Samsung,SGH C3322 LAKOTA DUOS,Phone,"5,899","5,600","5,899","4,899","4,650","5,160","4,160","3,950","2,210","1,210","1,150"
SGH PHONE E2232 NARI DUOS,Samsung,SGH E2232 NARI DUOS,Phone,"3,750","3,560","3,750","2,750","2,610","3,280","2,280","2,170","1,410",410,390
SGH PHONE GALAXY Y + 4COVERS,Samsung,SGH GALAXY Y,Phone,"9,999","9,490","9,999","8,999","8,550","8,750","7,750","7,360","3,750","2,750","2,610"
SONY XPERIA E C1605,Sony,XPERIA E C1605,Phone,"19,999","18,990","19,999","17,999","17,100","17,500","15,750","14,960","7,500","6,500","6,180"
SONY PHONE XPERIA J ST26I,Sony,XPERIA J ST26I,Phone,"22,499","21,370","22,499","20,249","19,240","19,690","17,720","16,830","8,440","7,440","7,070"
SONY PHONE - XPERIA P-LT22I,Sony,XPERIA P-LT22I,Phone,"26,999","25,640","26,999","24,299","23,080","23,620","21,260","20,200","10,120","9,110","8,650"
SONY PHONE XPERIA TIPO-ST21I2,Sony,XPERIA TIPO-ST21I2,Phone,"13,999","13,290","13,999","12,599","11,970","12,250","11,030","10,480","5,250","4,250","4,040"
SONY PHONE XPERIA U - ST25I,Sony,XPERIA U - ST25I,Phone,"19,999","18,990","19,999","17,999","17,100","17,500","15,750","14,960","7,500","6,500","6,180"
SONY ERICSSON PHONE WT13I,Sony Ericsson,WT13I,Phone,"13,999","13,290","13,999","12,599","11,970","12,250","11,030","10,480","5,250","4,250","4,040"
ALCATEL PHONE OT217D,Alcatel,OT217D,Phone,"1,499","1,420","1,499",499,470,"1,310",310,290,560,0,0
ALCATEL PHONE OT-310,Alcatel,OT-310,Phone,"2,250","2,130","2,250","1,250","1,190","1,970",970,920,840,0,0
LG PHONE MEGA TORCH DUAL-A275,LG,MEGA TORCH DUAL-A275,Phone,"2,099","1,990","2,099","1,099","1,040","1,840",840,800,790,0,0
MI PHONE 180,MI,180,Phone,"1,899","1,800","1,899",899,850,"1,660",660,630,710,0,0
MI PHONE Q100 WITH CAMERA,MI,Q100 WITH CAMERA,Phone,"2,099","1,990","2,099","1,099","1,040","1,840",840,800,790,0,0
NOKIA PHONE 100,Nokia,100,Phone,"2,099","1,990","2,099","1,099","1,040","1,840",840,800,790,0,0
NOKIA PHONE 101,Nokia,101,Phone,"2,499","2,370","2,499","1,499","1,420","2,190","1,190","1,130",940,0,0
NOKIA PHONE 105,Nokia,105,Phone,"1,750","1,660","1,750",750,710,"1,530",530,500,660,0,0
SAMSUNG KEYSTONE 2 E1205T,Samsung,KEYSTONE 2 E1205T,,"1,850","1,750","1,850",850,810,"1,620",620,590,690,0,0
